,District_Name,Soil_color,Nitrogen,Phosphorous,Potassium,pH,Rainfall,Temperature,Crop,Fertilizer,Link,Humidity
0,Kolhapur,Black,75,50,100,6.5,1000,20,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,71.8
1,Kolhapur,Black,80,50,100,6.5,1000,20,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,71.8
2,Kolhapur,Black,85,50,100,6.5,1000,20,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,71.8
3,Kolhapur,Black,90,50,100,6.5,1000,20,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,71.8
4,Kolhapur,Black,95,50,100,6.5,1000,20,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,71.8
5,Kolhapur,Black,100,50,100,6.5,1000,20,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,71.8
6,Kolhapur,Black,75,55,105,7.0,1100,25,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,71.8
7,Kolhapur,Black,80,55,105,7.0,1100,25,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,71.8
8,Kolhapur,Black,85,55,105,7.0,1100,25,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,71.8
9,Kolhapur,Black,90,55,105,7.0,1100,25,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,71.8
10,Kolhapur,Black,95,55,105,7.0,1100,25,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,71.8
11,Kolhapur,Black,100,55,105,7.0,1100,25,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,71.8
12,Kolhapur,Black,75,60,110,7.5,1200,30,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,71.8
13,Kolhapur,Black,80,60,110,7.5,1200,30,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,71.8
14,Kolhapur,Black,85,60,110,7.5,1200,30,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,71.8
15,Kolhapur,Black,90,60,110,7.5,1200,30,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,71.8
16,Kolhapur,Black,95,60,110,7.5,1200,30,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,71.8
17,Kolhapur,Black,100,60,110,7.5,1200,30,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,71.8
18,Kolhapur,Black,75,50,115,6.5,1300,35,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,71.8
19,Kolhapur,Black,80,50,115,6.5,1300,35,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,71.8
20,Kolhapur,Black,85,50,115,6.5,1300,35,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,71.8
21,Kolhapur,Black,90,50,115,6.5,1300,35,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,71.8
22,Kolhapur,Black,95,50,115,6.5,1300,35,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,71.8
23,Kolhapur,Black,100,50,115,6.5,1300,35,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,71.8
24,Kolhapur,Black,75,55,100,7.0,1400,20,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,71.8
25,Kolhapur,Black,80,55,100,7.0,1400,20,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,71.8
26,Kolhapur,Black,85,55,100,7.0,1400,20,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,71.8
27,Kolhapur,Black,90,55,100,7.0,1400,20,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,71.8
28,Kolhapur,Black,95,55,100,7.0,1400,20,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,71.8
29,Kolhapur,Black,100,55,100,7.0,1400,20,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,71.8
30,Kolhapur,Black,75,60,105,7.5,1500,25,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,71.8
31,Kolhapur,Black,80,60,105,7.5,1500,25,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,71.8
32,Kolhapur,Black,85,60,105,7.5,1500,25,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,71.8
33,Kolhapur,Black,90,60,105,7.5,1500,25,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,71.8
34,Kolhapur,Black,95,60,105,7.5,1500,25,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,71.8
35,Kolhapur,Black,100,60,105,7.5,1500,25,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,71.8
36,Kolhapur,Black,75,50,110,6.5,1000,30,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,71.8
37,Kolhapur,Black,80,50,110,6.5,1000,30,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,71.8
38,Kolhapur,Black,85,50,110,6.5,1000,30,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,71.8
39,Kolhapur,Black,90,50,110,6.5,1000,30,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,71.8
40,Kolhapur,Black,95,50,110,6.5,1000,30,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,71.8
41,Kolhapur,Black,100,50,110,6.5,1000,30,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,71.8
42,Kolhapur,Black,75,55,115,7.0,1100,35,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,71.8
43,Kolhapur,Black,80,55,115,7.0,1100,35,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,71.8
44,Kolhapur,Black,85,55,115,7.0,1100,35,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,71.8
45,Kolhapur,Black,90,55,115,7.0,1100,35,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,71.8
46,Kolhapur,Black,95,55,115,7.0,1100,35,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,71.8
47,Kolhapur,Black,100,55,115,7.0,1100,35,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,71.8
48,Kolhapur,Black,75,60,100,7.5,1200,20,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,71.8
49,Kolhapur,Black,80,60,100,7.5,1200,20,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,71.8
50,Kolhapur,Black,85,60,100,7.5,1200,20,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,71.8
51,Kolhapur,Black,90,60,100,7.5,1200,20,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,71.8
52,Kolhapur,Black,95,60,100,7.5,1200,20,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,71.8
53,Kolhapur,Black,100,60,100,7.5,1200,20,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,71.8
54,Kolhapur,Black,75,50,105,6.5,1300,25,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,71.8
55,Kolhapur,Black,80,50,105,6.5,1300,25,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,71.8
56,Kolhapur,Black,85,50,105,6.5,1300,25,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,71.8
57,Kolhapur,Black,90,50,105,6.5,1300,25,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,71.8
58,Kolhapur,Black,95,50,105,6.5,1300,25,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,71.8
59,Kolhapur,Black,100,50,105,6.5,1300,25,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,71.8
60,Kolhapur,Black,75,55,110,7.0,1400,30,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,71.8
